queue_status	repo_id	branch	safe_folder	algorithm_items	algorithm_directories	algorithm_files	skipped_paths	status_files	complete_status_files	output_files	verification_problems	source_commit	source_tree	report_path	notes
done	humanize	add-a-final-code-simplifier-after-codex-complete	add-a-final-code-simplifier-after-codex-complete	75	10	65	14	30	30	30	0	71ed63c83360c154ed316e8e38853af41ffc3b7e	b3912f0077b34cda720b07a862bd78c9a6e961ad	learn_humanize/branches/add-a-final-code-simplifier-after-codex-complete/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	add-careful-mode-v1.6.5	add-careful-mode-v1.6.5	145	15	130	25	30	30	30	0	a12de5d9f36bb10cd62955881f4e76d67d3f50ce	7d847853090e01da8d15947bc1f468d3e7943daf	learn_humanize/branches/add-careful-mode-v1.6.5/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	add-commit-plan-file-cli	add-commit-plan-file-cli	65	10	55	14	30	30	30	0	20b3ebae90ba6b39c335a1dbdec89affc90c386e	a724980b8339f3d9cb3cb857c903db0ece9d417f	learn_humanize/branches/add-commit-plan-file-cli/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	add-gen-plan-command	add-gen-plan-command	95	15	80	15	30	30	30	0	ac298f55075b28c65b2e76f8f73831cf6fd5be2f	7508ec5e6c8c06c71100f6a7576f90227fb4dbe1	learn_humanize/branches/add-gen-plan-command/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	add-shell-syntax-check-cicd	add-shell-syntax-check-cicd	19	5	14	12	30	30	30	0	6e0eebdb803522cd4be735589be4d1d76e8e536e	2eac271bef0f5a9293e328e3463532aa43e35e07	learn_humanize/branches/add-shell-syntax-check-cicd/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	allow-only-cancel-to-mv-state	allow-only-cancel-to-mv-state	72	10	62	14	30	30	30	0	3c39192e9b738743cdc5305a83a797a5ca66889b	2f62748ab4b74130f357b879d61ec081e2f5d394	learn_humanize/branches/allow-only-cancel-to-mv-state/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	ask-codex-skill	ask-codex-skill	163	17	146	25	30	30	30	0	caf375a20530c8bb81e8e8e103a8598c25c11bb0	cb4d25ddf1911f588dce6e4c285c9ed74b58b61a	learn_humanize/branches/ask-codex-skill/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	ask-gemini	ask-gemini	225	25	200	35	30	30	30	0	883e3f5bb8106cea4153d9f5e469b2fa7a8d6849	b9476bfda3f064efcefd5b341d9ddae04a6be9a3	learn_humanize/branches/ask-gemini/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	cancel-when-finalize	cancel-when-finalize	75	10	65	14	30	30	30	0	17b776ba6dc09b935afde8f448716ab5bae73b49	ab89d281f5347f04fde1273c5c8ae04652977e80	learn_humanize/branches/cancel-when-finalize/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	change-todos-to-tasks	change-todos-to-tasks	144	15	129	25	30	30	30	0	0790d28514ab48bec2668f4ec069592872fed586	421aa084f53b0286b04c69472f0e683788b7059e	learn_humanize/branches/change-todos-to-tasks/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	claude/add-dependency-check-tA0P8	claude__add-dependency-check-tA0P8	173	20	153	32	30	30	30	0	df26142e5fbed5e2ac3e48f001786cfa77296dda	a3c84a8892915ef54a69f05daed4839c1c581af3	learn_humanize/branches/claude__add-dependency-check-tA0P8/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	dev	dev	226	26	200	68	30	30	30	0	eec73c4dfcc4f9791933e3cbaa616d4f261ed9e2	96c7a42d89407320e7901ee2e149ba90da43b267	learn_humanize/branches/dev/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	dev-rlcr-with-swarm-team	dev-rlcr-with-swarm-team	150	15	135	25	30	30	30	0	0d5f0943ae9b1f80c5115aa946ebeb289e2cb83d	b115d62575538a825f4d0193433e663db4e7696c	learn_humanize/branches/dev-rlcr-with-swarm-team/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	do-not-block-stop-when-background-running	do-not-block-stop-when-background-running	196	24	172	35	30	30	30	0	3711e5fd9059584c7bf98cf1d19ee02dcf5bef48	85688308d3ac5878c8b92c28f6882eb11eab2640	learn_humanize/branches/do-not-block-stop-when-background-running/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	do-not-wish-coding	do-not-wish-coding	200	23	177	33	30	30	30	0	ac6cd9c180bcb9b84f6083fba1e458b4aab9ae14	3ea02272d1dfedbaeb33258dde5a71a911816d51	learn_humanize/branches/do-not-wish-coding/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	enhance-rlcr-with-review-loop	enhance-rlcr-with-review-loop	138	15	123	25	30	30	30	0	dd6c37c45c4836773497f878b8925057e9f5318c	0fa8cd9a00b5b352ba560724bae33887982fd314	learn_humanize/branches/enhance-rlcr-with-review-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	feature/codex-bypass-sandbox-env	feature__codex-bypass-sandbox-env	144	15	129	25	30	30	30	0	f0f1ad947157c3d1e9d0bdd58bf36aae92075cc6	18bfb7a089ea90d5a898f1c19ed4a698a1e00afd	learn_humanize/branches/feature__codex-bypass-sandbox-env/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	fix-humanize-escape	fix-humanize-escape	81	10	71	14	30	30	30	0	05ff234806d5fe8686b2d9554c00eaa6f3e77dd8	69bd999cf717f2b53cbf987aafdda6237227aa02	learn_humanize/branches/fix-humanize-escape/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	fix-pr-loop	fix-pr-loop	144	15	129	25	30	30	30	0	81f6f49d816a90a0e719db41ce15c4636ab9858a	0c8a734c36349aa391c24a02d024950f8a027e78	learn_humanize/branches/fix-pr-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	fix-too-strict-rule-and-enhance-plan-gen	fix-too-strict-rule-and-enhance-plan-gen	99	12	87	14	30	30	30	0	f1c0c6fb48a4eed20dacbe94c5b22992e5f07418	3229c8598caa5efcc00a5f10d87345c18c5ff6e8	learn_humanize/branches/fix-too-strict-rule-and-enhance-plan-gen/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	general-refactor-and-review	general-refactor-and-review	71	10	61	14	30	30	30	0	1fea22e96345f1005992936983b85317a156e3d5	6e9928c93aba651d4ad4676ba86509a9840a5ef3	learn_humanize/branches/general-refactor-and-review/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	general-robustness-edge-test	general-robustness-edge-test	144	15	129	25	30	30	30	0	4a4e59ce0cc5613c54d15754a29c7d2a2e9be058	e5a1cc8e7baf55b12efeae3fb5564c88e5173747	learn_humanize/branches/general-robustness-edge-test/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	h2-dev	h2-dev	251	26	225	126	30	30	30	0	2da7defbd5e955dbc329a27f1745fa74a0bee3f7	bef2487769543ff367da2da425136b0cfefae129	learn_humanize/branches/h2-dev/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	impl-dccb-loop	impl-dccb-loop	23	5	18	6	30	30	30	0	0fabd14f224c998e6dedd7cddaf57c479524700c	fcb8815fbdcfc05b5906fcf80046321cf93c1660	learn_humanize/branches/impl-dccb-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	impl-pr-loop	impl-pr-loop	131	14	117	25	30	30	30	0	96455ba5aff935988d78439ca55427c603b1adcd	87ae2694d112d8130912971c6a6c494694ca9697	learn_humanize/branches/impl-pr-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-gen-plan-command	improve-gen-plan-command	131	14	117	25	30	30	30	0	934cf543d66046b72071d121b15583d5e3d6799e	a22ad6bef2ad440595842fd080d8abf4ffc5c7b9	learn_humanize/branches/improve-gen-plan-command/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-monitor-script	improve-monitor-script	71	10	61	14	30	30	30	0	5af20b79e6fec323a2d5cb9344a6a584db1c635a	90889393919f3f267d49c0d8544475806bcb1f96	learn_humanize/branches/improve-monitor-script/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	improve-pr-loop	improve-pr-loop	144	15	129	25	30	30	30	0	61f03daecb8ff9c20e535a636b90aa92a3d7c9b2	d68379d07648ba44175cc687b6a8074dedd7cf4e	learn_humanize/branches/improve-pr-loop/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
done	humanize	main	main	201	25	176	35	30	30	30	0	0ec921a36b4365df503511c5567bbd3e02db0df5	02b795eabc439b19379e366f009e81b38f5b52a5	learn_humanize/branches/main/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
todo	humanize	make-working-folder-to-humanize-only	make-working-folder-to-humanize-only	65	10	55	14	0	0	0	130	823cb32d01ae021ec8a0eb3dc1f18af901d2ba65	06b73274dce37240e80fa861a80486bb5a4d0464	learn_humanize/branches/make-working-folder-to-humanize-only/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	reflection-improve	reflection-improve	203	23	180	33	0	0	0	406	13a47fb2260667a272b448e8d3c1a521f2382590	205613f9f58731a061e3e9aa4e46a09e2482de2b	learn_humanize/branches/reflection-improve/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	robust-edge-test-find-and-resolve	robust-edge-test-find-and-resolve	99	12	87	14	0	0	0	198	a3112ca4d149f56ced783e805b6dfcf029368dc4	a5790de8b3fc8edc56d0b302e556cb4f2cf234ae	learn_humanize/branches/robust-edge-test-find-and-resolve/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	skillize-rlcr-actions	skillize-rlcr-actions	89	13	76	15	0	0	0	178	0a9187b8478dd3ed9c0cf58a4615c61e188fd444	a2958058fd3ea9d4b6696ac43abf190a760266cb	learn_humanize/branches/skillize-rlcr-actions/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	templify-prompt	templify-prompt	58	10	48	13	0	0	0	116	0c107abc65600bca4e18b04265b48c91da772491	f3c9561d9e816fb24001ba1b460b3929fec0423e	learn_humanize/branches/templify-prompt/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	todo2task-careful-mode	todo2task-careful-mode	145	15	130	25	0	0	0	290	7d9dd4fbb5c376ae0a72b7caf81c50909ff14c37	52de937eb6bb6f1eeb841422e1c5fd05e319540d	learn_humanize/branches/todo2task-careful-mode/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	tunable-full-examine-round	tunable-full-examine-round	144	15	129	25	0	0	0	288	67aa7bab09f0d0e36ac403264eed6989b09aada5	963d7c2de33adb281d457398c9498e54b9c36e7b	learn_humanize/branches/tunable-full-examine-round/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	use-realpath4everything	use-realpath4everything	197	24	173	35	0	0	0	394	cf17140050c4e063f27924c2d56cc2279d81f4cd	e82a446dc9fb060a3c0edf5156d4934bee330e53	learn_humanize/branches/use-realpath4everything/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
todo	humanize	vcs-cli-on-plan-file	vcs-cli-on-plan-file	70	10	60	13	0	0	0	140	4dd1ca2fece39d3c6d7f84965cd71bda02489397	2eceab4140baa5aa2a6130625bfe3e91590ceb99	learn_humanize/branches/vcs-cli-on-plan-file/core_algorithm_1to1_report.md	Algorithm list and 30-worker scaffolding prepared; worker outputs not complete.
done	oh-my-humanize	main	main	3619	283	3336	1423	30	30	30	0	6b3819fad50a89fffae899b240ad1ce065c51d23	35394e47731487305e72fba1af5fac0301816c20	learn_humanize/repos/oh-my-humanize/branches/main/core_algorithm_1to1_report.md	Completed 1:1 algorithm-subset learning report.
